"Estado","Óbitos"
"Rondônia",256
"Acre",225
"Amazonas",782
"Roraima",101
"Pará",1899
"Amapá",222
"Tocantins",275
"Maranhão",1426
"Piauí",456
"Ceará",3434
"Rio Grande do Norte",1230
"Paraíba",923
"Pernambuco",3063
"Alagoas",864
"Sergipe",823
"Bahia",5082
"Minas Gerais",1692
"Espírito Santo",934
"Rio de Janeiro",2744
"São Paulo",1762
"Paraná",1407
"Santa Catarina",382
"Rio Grande do Sul",1537
"Mato Grosso do Sul",215
"Mato Grosso",594
"Goiás",1413
"Distrito Federal",253
