"Sexo","5 a 9 anos","10 a 14 anos","15 a 19 anos","20 a 29 anos","30 a 39 anos","40 a 49 anos","50 a 59 anos","60 a 69 anos","70 a 79 anos","80 anos e mais","Total"
"Masc",1,3,37,87,97,101,133,120,81,55,715
"Fem",-,3,9,10,14,21,17,10,6,4,94
