"Sexo","Menor 1 ano","1 a 4 anos","5 a 9 anos","10 a 14 anos","15 a 19 anos","20 a 29 anos","30 a 39 anos","40 a 49 anos","50 a 59 anos","60 a 69 anos","70 a 79 anos","80 anos e mais","Idade ignorada","Total"
"Masc",5,14,12,177,4386,13288,7346,3472,1447,532,164,41,220,31104
"Fem",2,10,12,47,259,611,506,259,126,52,17,3,9,1913
