"Sexo","Menor 1 ano","1 a 4 anos","5 a 9 anos","10 a 14 anos","15 a 19 anos","20 a 29 anos","30 a 39 anos","40 a 49 anos","50 a 59 anos","60 a 69 anos","70 a 79 anos","80 anos e mais","Idade ignorada","Total"
"Masc",231,596,1130,9288,159882,381569,197349,91794,40615,16852,6205,2151,16027,923689
"Fem",96,420,570,2248,9924,19567,13765,7750,3458,1445,602,228,1067,61140
